Firm Name,Group,Joint Reporting,Reporting frequency,Reporting period,Semester,Complaints Received,Complaints Closed,Complaints Upheld (%)
Grattan Plc,NO GROUP,,Half Yearly,2023-03-01 to 2023-08-31,2023 H2,735,747,29500.00%
Handelsbanken plc,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,33,34,1500.00%
Hastings Insurance Services Limited,HASTINGS GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,745,717,46100.00%
Healthcare Finance Limited,NO GROUP,,Yearly,2023-01-01 to 2023-12-31,2023 H2,1545,111,3900.00%
Homeserve Membership Limited,HOMESERVE PLC,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1,1,100.00%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,6428,6317,326100.00%
Hutchison 3G UK Limited,NO GROUP,,Yearly,2023-01-01 to 2023-12-31,2023 H2,6438,3730,211500.00%
Hyundai Capital UK Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,748,796,20400.00%
Ikano Bank AB (publ),NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1537,1581,69700.00%
Insurance Factory Ltd,MARKERSTUDY GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,39,39,900.00%
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,Half Yearly,2023-03-01 to 2023-08-31,2023 H2,10692,10257,439400.00%
JAJA FINANCE LTD,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,3041,2963,173600.00%
Lantern Debt Recovery Services Ltd,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1652,1741,38400.00%
LeasePlan UK Limited,LP GROUP B.V.,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1258,1114,79500.00%
Lendable Ltd,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,3781,2791,53700.00%
Lex Autolease Ltd,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,2170,2159,116200.00%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,4894,4917,257100.00%
Loans 2 Go Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,2799,2290,8900.00%
Lowell Financial Ltd,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,7852,8506,296100.00%
Madison CF UK Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,4162,4885,150300.00%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,642,495,34300.00%
Marsh Finance Ltd,NO GROUP,,Yearly,2022-10-01 to 2023-09-30,2023 H2,849,804,18600.00%
Marshmallow Financial Services Ltd,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,41,30,2000.00%
Mercedes-Benz Financial Services UK Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,4119,4411,280200.00%
Metro Bank PLC,METRO BANK PLC,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1202,1188,33600.00%
MI Vehicle Finance Limited,NO GROUP,,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,951,838,39200.00%
Mitsubishi HC Capital UK PLC,NO GROUP,no,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,5055,4880,205800.00%
Moneybarn No. 1 Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,12458,14890,334300.00%
Monzo Bank Ltd,MONZO BANK LIMITED,no,Half Yearly,2023-03-01 to 2023-08-31,2023 H2,1426,1156,76200.00%
Moorcroft Debt Recovery Limited,NO GROUP,no,Half Yearly,2023-02-01 to 2023-07-31,2023 H2,524,438,20100.00%
Morses Club Limited,NO GROUP,,Half Yearly,2023-03-01 to 2023-08-31,2023 H2,1690,1749,52700.00%
MotoNovo Finance Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,12139,12891,474800.00%
N.I.I.B. Group Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1609,1491,44900.00%
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,5286,5361,367700.00%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,Half Yearly,2023-04-05 to 2023-09-30,2023 H2,1190,1203,53700.00%
NCO Europe Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1104,1102,90200.00%
Next Retail Limited,NO GROUP,,Half Yearly,2023-02-01 to 2023-07-31,2023 H2,7537,7240,421900.00%
Northern Bank Limited,DANSKE BANK A/S,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,57,60,600.00%
OAKBROOK FINANCE LIMITED,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1790,1598,36000.00%
One Call Insurance Services Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,234,233,4400.00%
Oodle Financial Services Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,4808,4370,139900.00%
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,224,193,9100.00%
Paymentsense Limited,NO GROUP,,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,1972,1956,131500.00%
PRA Group (UK) Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1562,1531,28300.00%
Premium Credit Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,2668,2689,56900.00%
Qmetric Group Limited,NO GROUP,no,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,6,4,200.00%
RCI Financial Services Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1376,1425,72600.00%
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,19,19,900.00%
Sainsbury's Bank Plc,J SAINSBURY PLC,no,Half Yearly,2023-03-01 to 2023-08-31,2023 H2,641,709,38700.00%
Salary Finance Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1040,1200,90100.00%
Santander Consumer (UK) Plc,SANTANDER UK GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,2904,2993,87500.00%
Santander UK Plc,SANTANDER UK GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1991,2064,95000.00%
ScoresMatter Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,702,695,4300.00%
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,2863,2871,118300.00%
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1332,1418,56800.00%
Shelby Finance Ltd,NO GROUP,,Half Yearly,2023-03-01 to 2023-08-31,2023 H2,618,746,14800.00%
Shop Direct Finance Company Limited,THE VERY GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,28990,35641,841800.00%
Specialist Motor Finance Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,945,706,16600.00%
Stagemount Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,589,600,22300.00%
Starling Bank Limited,NO GROUP,no,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,160,165,6300.00%
STARTLINE MOTOR FINANCE LIMITED,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,2338,2140,73100.00%
Stellantis Financial Services UK Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,2573,2284,57900.00%
Sun Life Assurance Company of Canada (U.K.) Limited,PHOENIX GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1,2,0.00%
Tandem Motor Finance Limited,NO GROUP,,Yearly,2023-01-01 to 2023-12-31,2023 H2,540,485,15900.00%
Tandem Personal Loans Ltd,NO GROUP,,Yearly,2023-01-01 to 2023-12-31,2023 H2,546,541,14800.00%
Telefonica UK Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,10163,8299,700200.00%
Tesco Personal Finance PLC,TESCO BANK (TESCO PLC),no,Half Yearly,2023-03-01 to 2023-08-31,2023 H2,1308,1277,66200.00%
The Royal Bank of Scotland Plc,NATWEST GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1195,1202,83200.00%
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1,1,0.00%
Topaz Finance Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,46,68,3800.00%
Toyota Financial Services (UK) PLC,NO GROUP,no,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,846,828,20100.00%
TRANSUNION INTERNATIONAL UK LIMITED,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1768,2133,49100.00%
Triodos Bank UK Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,10,8,200.00%
TSB Bank plc,BANCO DE SABADELL SA,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,820,880,46700.00%
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,272,272,17100.00%
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1,1,100.00%
Virgin Media Mobile Finance Limited,NO GROUP,,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,3834,4150,273500.00%
Vodafone Limited,NO GROUP,no,Half Yearly,2023-04-01 to 2023-09-30,2023 H2,7966,8021,395500.00%
Volkswagen Financial Services (UK) Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,12540,13230,549400.00%
Wescot Credit Services Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,1755,1652,42400.00%
Xbridge Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,37,38,700.00%
Zopa Bank Limited,NO GROUP,no,Half Yearly,2023-07-01 to 2023-12-31,2023 H2,2792,2782,156700.00%
247 Money Group Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,707,725,23.72%
Acorn Insurance & Financial Services Ltd,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,53,53,60.38%
Adrian Flux Insurance Services Group,NO GROUP,no,Half Yearly,2022-09-01 to 2023-02-28,,11,11,18.18%
Advanced Payment Solutions Limited,NO GROUP,no,Half Yearly,2022-10-01 to 2023-03-31,,62,62,25.81%
Advantage Finance Ltd,NO GROUP,no,Half Yearly,2022-08-01 to 2023-01-31,,797,707,39.46%
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,no,Half Yearly,2023-01-01 to 2023-06-30,,4,4,75.00%
Ageas Retail Limited,AGEAS SA-NV,no,Half Yearly,2023-01-01 to 2023-06-30,,131,125,40.80%
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,Half Yearly,2023-01-01 to 2023-06-30,,19,23,56.52%
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,yes,Half Yearly,2023-01-01 to 2023-06-30,,108,97,78.35%
Ald Automotive Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"1,342","1,428",63.17%
Aldermore Bank Plc,FIRSTRAND LIMITED,no,Half Yearly,2023-01-01 to 2023-06-30,,43,44,34.09%
Allianz Insurance Plc,ALLIANZ SE,no,Half Yearly,2023-01-01 to 2023-06-30,,2,2,100.00%
Arthur J. Gallagher Insurance Brokers Limited,GALLAGHER,yes,Half Yearly,2023-01-01 to 2023-06-30,,12,12,75.00%
Arval UK Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"1,783","1,626",72.26%
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,no,Half Yearly,2023-01-01 to 2023-06-30,,283,290,45.52%
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),no,Half Yearly,2022-08-01 to 2023-01-31,,211,218,12.39%
Avantia Insurance Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,244,234,46.58%
AXA Insurance Designated Activity Company,AXA GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,98,99,45.45%
Bamboo Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"1,149","1,096",22.99%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,Half Yearly,2023-01-01 to 2023-06-30,,"2,932","2,964",51.89%
Barbon Insurance Group Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,14,13,61.54%
Barclays Bank Plc,BARCLAYS PLC,no,Half Yearly,2023-01-01 to 2023-06-30,,8,8,87.50%
Barclays Bank UK PLC,BARCLAYS PLC,yes,Half Yearly,2023-01-01 to 2023-06-30,,"4,535","5,245",41.58%
BFSL Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,965,962,51.25%
Billing Finance Limited,NO GROUP,,Half Yearly,2022-11-01 to 2023-04-30,,634,559,40.25%
BISL Limited,BGL GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,257,243,46.09%
Black Horse Limited,LLOYDS BANKING GROUP PLC,no,Half Yearly,2023-01-01 to 2023-06-30,,"8,971","7,714",41.42%
Blue Motor Finance Ltd,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"2,971","2,442",25.51%
BMW Financial Services(GB) Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"3,160","3,741",30.23%
British Gas Services Limited,CENTRICA PLC,yes,Half Yearly,2023-01-01 to 2023-06-30,,13,14,50.00%
CA AUTO FINANCE UK LTD,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"1,723",610,45.25%
Cabot Credit Management Group Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"4,748","4,505",23.02%
Capquest Debt Recovery Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"1,344","1,387",47.08%
Carfinance247 Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,806,821,41.05%
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP LIMITED,no,Half Yearly,2023-01-01 to 2023-06-30,,62,58,37.93%
Chetwood Financial Limited,NO GROUP,no,Half Yearly,2022-10-01 to 2023-03-31,,301,301,20.60%
Chubb European Group SE,CHUBB LIMITED,no,Half Yearly,2023-01-01 to 2023-06-30,,1,1,100.00%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,Half Yearly,2022-08-01 to 2023-01-31,,"10,428","10,951",38.53%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,Half Yearly,2022-10-01 to 2023-03-31,,622,769,74.51%
Coutts & Company,NATWEST GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,18,26,69.23%
Covea Insurance plc,COVEA GROUP,yes,Half Yearly,2023-01-01 to 2023-06-30,,13,12,75.00%
Coventry Building Society,NO GROUP,yes,Half Yearly,2023-01-01 to 2023-06-30,,5,4,0.00%
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"3,295","2,701",25.62%
Creation Financial Services Limited,BNP PARIBAS GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"1,683","1,569",43.08%
Damartex UK Limited,NO GROUP,,Yearly,2022-07-01 to 2023-06-30,,"1,763","1,805",72.63%
Devitt Insurance Services Ltd,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,58,56,25.00%
Elavon Financial Services Designated Activity Company,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,148,145,63.45%
Elderbridge Limited,TECH MAHINDRA LIMITED,no,Half Yearly,2022-10-01 to 2023-03-31,,27,23,21.74%
EQUIFAX LIMITED,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"2,317","2,151",34.64%
EUI Limited,ADMIRAL GROUP PLC,yes,Half Yearly,2023-01-01 to 2023-06-30,,"1,465","1,526",51.90%
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,no,Half Yearly,2023-01-01 to 2023-06-30,,16,15,13.33%
Evergreen Finance London Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,703,633,44.08%
Everyday Lending Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"1,196",921,25.41%
Experian Limited,EXPERIAN PLC,no,Half Yearly,2022-10-01 to 2023-03-31,,"13,308","13,113",16.72%
Extracover Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,447,443,45.15%
FCE Bank Plc,FORD MOTOR CO,no,Half Yearly,2023-01-01 to 2023-06-30,,"1,259","1,263",25.26%
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,Half Yearly,2023-01-01 to 2023-06-30,,,1,100.00%
First Response Finance Ltd,NO GROUP,,Half Yearly,2022-10-01 to 2023-03-31,,"1,189","1,091",44.00%
FirstRand Bank Limited,FIRSTRAND LIMITED,no,Half Yearly,2023-01-01 to 2023-06-30,,"6,685","2,846",34.50%
Foundation for Credit Counselling,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"1,208","1,125",40.98%
Frasers Group Financial Services Limited,NO GROUP,no,Half Yearly,2022-11-01 to 2023-04-30,,"1,602","1,451",24.74%
Freemans Plc,NO GROUP,,Half Yearly,2022-09-01 to 2023-02-28,,"1,149","1,142",43.96%
Funding Circle Ltd,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"1,561","1,522",23.52%
Gain Credit LLC,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"6,560","6,966",53.56%
Go Car Credit Limited,NO GROUP,,Half Yearly,2022-10-01 to 2023-03-31,,686,628,46.02%
Handelsbanken plc,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,28,30,26.67%
Hastings Insurance Services Limited,HASTINGS GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,682,702,67.95%
Homeserve Membership Limited,HOMESERVE PLC,no,Half Yearly,2022-10-01 to 2023-03-31,,1,2,50.00%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,Half Yearly,2023-01-01 to 2023-06-30,,"6,004","6,087",54.66%
Hyundai Capital UK Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,863,980,28.37%
Insurance Factory Ltd,MARKERSTUDY GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,85,85,44.71%
Intrum UK Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,744,751,41.28%
Investec Bank PLC,INVESTEC PLC,no,Half Yearly,2022-10-01 to 2023-03-31,,1,2,100.00%
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,Half Yearly,2022-09-01 to 2023-02-28,,"10,282","10,956",46.83%
JAJA FINANCE LTD,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"4,330","4,330",50.85%
Klarna Bank AB (publ),NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,692,617,46.03%
Kroo Bank Ltd,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,4,4,75.00%
Lantern Debt Recovery Services Ltd,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"2,717","3,098",21.95%
LeasePlan UK Limited,LP GROUP B.V.,no,Half Yearly,2023-01-01 to 2023-06-30,,"1,117","1,239",64.65%
Lendable Ltd,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"2,793","2,338",16.47%
Lex Autolease Ltd,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"2,221","2,249",54.82%
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,Half Yearly,2023-01-01 to 2023-06-30,,4,4,75.00%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,Half Yearly,2023-01-01 to 2023-06-30,,"5,605","5,632",56.07%
Loans 2 Go Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"2,539","2,519",4.96%
Lowell Financial Ltd,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"8,271","7,895",32.39%
Madison CF UK Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"6,377","5,940",36.35%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,Half Yearly,2023-01-01 to 2023-06-30,,773,800,57.88%
Marshmallow Financial Services Ltd,NO GROUP,yes,Half Yearly,2023-01-01 to 2023-06-30,,26,20,80.00%
Mercedes-Benz Financial Services UK Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"3,270","3,641",59.05%
Metro Bank PLC,METRO BANK PLC,no,Half Yearly,2023-01-01 to 2023-06-30,,"1,323","1,325",30.64%
MI Vehicle Finance Limited,NO GROUP,,Half Yearly,2022-10-01 to 2023-03-31,,793,731,53.08%
Mitsubishi HC Capital UK PLC,NO GROUP,no,Half Yearly,2022-10-01 to 2023-03-31,,"4,602","4,417",41.09%
Moneybarn No. 1 Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"14,349","11,138",17.64%
Monzo Bank Ltd,MONZO BANK LIMITED,no,Half Yearly,2022-09-01 to 2023-02-28,,834,599,45.08%
Moorcroft Debt Recovery Limited,NO GROUP,no,Half Yearly,2022-08-01 to 2023-01-31,,530,454,45.37%
Morses Club Limited,NO GROUP,,Half Yearly,2022-09-01 to 2023-02-28,,"2,591","3,908",45.85%
MotoNovo Finance Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"10,679","8,700",56.38%
N.I.I.B. Group Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"1,158",819,16.73%
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"4,906","4,701",72.03%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,Half Yearly,2022-10-01 to 2023-04-04,,"1,158","1,506",53.78%
New Wave Capital Limited,NO GROUP,,Yearly,2022-04-01 to 2023-03-31,,"1,468","1,404",39.17%
NewDay Ltd,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"22,495","22,446",32.69%
Next Retail Limited,NO GROUP,,Half Yearly,2022-08-01 to 2023-01-31,,"9,948","10,207",49.68%
Northern Bank Limited,DANSKE BANK A/S,no,Half Yearly,2023-01-01 to 2023-06-30,,69,70,10.00%
Novaloans Ltd,NO GROUP,,Yearly,2022-06-01 to 2023-05-31,,"1,370","1,253",53.39%
OAKBROOK FINANCE LIMITED,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"1,672","1,838",24.05%
One Call Insurance Services Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,213,229,10.92%
Oodle Financial Services Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"4,326","3,967",43.08%
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,Half Yearly,2022-10-01 to 2023-03-31,,207,211,51.18%
Paymentsense Limited,NO GROUP,,Half Yearly,2022-10-01 to 2023-03-31,,704,696,20.83%
Phoenix Life Limited,PHOENIX GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,1,1,0.00%
PRA Group (UK) Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"1,427","1,450",19.52%
Premium Credit Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"2,771","2,754",26.00%
Qmetric Group Limited,NO GROUP,no,Half Yearly,2022-10-01 to 2023-03-31,,2,2,0.00%
Quidie Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,880,758,16.62%
RCI Financial Services Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"1,378","1,208",54.06%
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,Half Yearly,2023-01-01 to 2023-06-30,,8,8,75.00%
Sainsbury's Bank Plc,J SAINSBURY PLC,no,Half Yearly,2022-09-01 to 2023-02-28,,"1,300","1,348",55.56%
Salary Finance Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,956,764,82.98%
Santander Consumer (UK) Plc,SANTANDER UK GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"2,707","2,553",47.00%
Santander UK Plc,SANTANDER UK GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"1,945","1,910",42.83%
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,Half Yearly,2023-01-01 to 2023-06-30,,"2,659","2,519",42.72%
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,Half Yearly,2023-01-01 to 2023-06-30,,"1,189","1,376",47.53%
Shelby Finance Ltd,NO GROUP,,Half Yearly,2022-09-01 to 2023-02-28,,"1,000",989,17.69%
Shop Direct Finance Company Limited,THE VERY GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"29,858","22,595",29.67%
Specialist Motor Finance Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,785,543,34.44%
Starling Bank Limited,NO GROUP,no,Half Yearly,2022-10-01 to 2023-03-31,,149,161,26.71%
STARTLINE MOTOR FINANCE LIMITED,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"1,899","1,636",35.39%
Stellantis Financial Services UK Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"2,159","1,932",30.28%
Sun Life Assurance Company of Canada (U.K.) Limited,PHOENIX GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,3,2,50.00%
Telefonica UK Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"4,304","3,786",73.38%
Tesco Personal Finance PLC,TESCO BANK (TESCO PLC),no,Half Yearly,2022-09-01 to 2023-02-28,,812,819,45.05%
The Royal Bank of Scotland Plc,NATWEST GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,"1,177","1,148",72.82%
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,Half Yearly,2023-01-01 to 2023-06-30,,4,4,50.00%
Topaz Finance Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,74,64,65.63%
TRANSUNION INTERNATIONAL UK LIMITED,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"2,088","1,288",23.37%
Triodos Bank UK Limited,NO GROUP,no,Half Yearly,2023-01-01 to 2023-06-30,,6,7,28.57%
TSB Bank plc,BANCO DE SABADELL SA,no,Half Yearly,2023-01-01 to 2023-06-30,,"1,425","1,368",53.00%
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,Half Yearly,2023-01-01 to 2023-06-30,,216,216,64.81%
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,Half Yearly,2023-01-01 to 2023-06-30,,2,2,0.00%
Virgin Media Mobile Finance Limited,NO GROUP,,Half Yearly,2023-01-01 to 2023-06-30,,"5,193","4,910",73.71%
Vitality Corporate Services Limited,DISCOVERY LIMITED,yes,Half Yearly,2023-01-01 to 2023-06-30,,3,1,0.00%
Vodafone Limited,NO GROUP,no,Half Yearly,2022-10-01 to 2023-03-31,,"6,359","6,604",57.87%
