Firm Name,Group,Joint Reporting,Reporting frequency,Reporting period,Semester,Complaints Received,Complaints Closed,Complaints Upheld (%)
Ald Automotive Limited,SOCIETE GENERALE,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,875","1,879",63.0%
Aldermore Bank Plc,FIRSTRAND LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,35,41,34.1%
Allianz Insurance Plc,ALLIANZ SE,no,Half Yearly,01-01-2021 to 30-06-2021,,1,0,0.0%
Allianz plc,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,18,18,0.0%
Amigo Loans Ltd,NO GROUP,no,Half Yearly,01-10-2020 to 31-03-2021,,"35,095","18,021",50.2%
Arrow Global Limited,ARROW GLOBAL GROUP PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,919,872,31.9%
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J. GALLAGHER (UK) LTD,yes,Half Yearly,01-01-2021 to 30-06-2021,,2,2,50.0%
Arval UK Limited,BNP PARIBAS SA,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,584","1,599",71.0%
ATLANTA 1 INSURANCE SERVICES LIMITED,ARDONAGH GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,31,28,35.7%
Atlanta Insurance Intermediaries Limited,ARDONAGH GROUP LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,220,215,54.9%
Automobile Association Insurance Services Limited,NO GROUP,no,Half Yearly,01-08-2020 to 31-01-2021,,233,211,9.0%
Bamboo Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,883","2,302",17.1%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,"3,809","3,750",52.9%
Barclays Bank Plc,BARCLAYS PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,44,25,76.0%
Barclays Bank UK PLC,BARCLAYS PLC,yes,Half Yearly,01-01-2021 to 30-06-2021,,"9,158","8,885",53.6%
BFSL Limited,BGL GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,747,746,44.1%
BISL Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,257,269,36.1%
Black Horse Limited,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,"4,706","4,737",61.3%
Blue Motor Finance Ltd,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,038",872,35.3%
BMW Financial Services(GB) Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"3,193","3,155",49.8%
Bollington Insurance Brokers Limited,ARTHUR J. GALLAGHER (UK) LTD,yes,Half Yearly,01-01-2021 to 30-06-2021,,31,28,25.0%
British Gas Services Limited,CENTRICA PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,28,23,34.8%
Cabot Credit Management Group Limited,ENCORE CAPITAL GROUP COMPANY,no,Half Yearly,01-01-2021 to 30-06-2021,,"4,665","4,837",25.8%
Capquest Debt Recovery Limited,ARROW GLOBAL GROUP PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,068","1,073",37.6%
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,6,7,71.4%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,Half Yearly,01-08-2020 to 31-01-2021,,"15,725","16,356",34.1%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,Half Yearly,01-10-2020 to 31-03-2021,,"1,146","1,064",79.8%
Coutts & Company,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,25,30,66.7%
Covea Insurance plc,NO GROUP,yes,Half Yearly,01-01-2021 to 30-06-2021,,13,13,53.8%
Coventry Building Society,COVENTRY BUILDING SOCIETY,no,Half Yearly,01-01-2021 to 30-06-2021,,5,5,60.0%
Creation Consumer Finance Ltd,BNP PARIBAS SA,no,Half Yearly,01-01-2021 to 30-06-2021,,"2,524","2,668",39.7%
